Name,DOB,SessionID,Certification Date,Notes,Certification Granted,Facilitator Name
Sarah Johnson,Jan 12, 1990,12345,March 1, 2021,Student showed significant improvement during session.,Yes,Amanda Lee
John Smith,Dec 3, 1985,56789,April 15, 2021,Student reported feeling more calm and relaxed post-session.,Yes,Robert Green
Emily Lee,May 21, 1992,98765,Feb 20, 2021,Student expressed increased confidence in their abilities.,Yes,David Chen
David Kim,Sept 14, 1991,34567,Jan 5, 2021,Student reported a decrease in anxiety and stress post-session.,Yes,Emily Wong
Michael Chen,Oct 30, 1989,23456,May 1, 2021,Student showed improved emotional regulation and coping skills.,Yes,Samantha Lee
Laura Garcia,Aug 7, 1994,78901,April 22, 2021,Student reported better communication with their partner post-session.,Yes,Marcus Johnson
James Davis,Nov 9, 1990,45678,Feb 1, 2021,Student showed increased motivation to pursue personal goals.,Yes,Olivia Wang
Rachel Wong,Feb 28, 1993,89012,Jan 15, 2021,Student reported feeling more optimistic and positive post-session.,Yes,Jason Chen
Avery Patel,July 2, 1996,12346,May 15, 2021,Student showed improvement in interpersonal relationships.,Yes,Kayla Singh
Oliver Kim,Dec 19, 1986,67890,April 5, 2021,Student reported a decrease in depressive symptoms post-session.,Yes,Lauren Patel
